Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Mean,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Mean,Bwd.IAT.Max,Bwd.IAT.Min,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Label
258,0,92.5333333333333,0,0,0.0,5612.86591801495,60.6577728892106,17663.5,123553.0,0,17663.5,123553.0,0.0,0.0,0.0,0.0,0,258,86.75,YOUTUBE
258,0,43.9047619047619,2048,0,548.823529411765,42181.1419190527,156.34836060515,6568.83783783784,182523.0,0,12152.35,182523.0,0.0,3103.25,28749.0,0.0,0,2048,262.871794871795,YOUTUBE
0,0,0.0,0,0,0.0,0.0,199.560965875075,10022.0,10022.0,10022,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,YOUTUBE
242,0,95.5714285714286,2920,0,519.787878787879,43947.643565919,98.6368388865874,10398.1538461538,132145.0,0,67588.0,137634.0,1654.0,10963.875,132145.0,0.0,0,2920,434.682926829268,YOUTUBE
242,0,55.375,2799,0,933.0,9349.05543395824,31.7210394119496,34677.3,131344.0,0,49539.0,132341.0,0.0,69229.5,137645.0,814.0,0,2799,270.166666666667,YOUTUBE
242,0,95.5714285714286,4215,0,387.833333333333,30180.0895787444,90.7561211324402,11324.6111111111,132918.0,0,67947.6666666667,139821.0,2142.0,12448.0689655172,132918.0,0.0,0,4215,323.78947368421,YOUTUBE
1418,0,709.0,242,0,88.6,15179.6419659928,41.6641591015356,27001.625,131925.0,39,46311.3333333333,137932.0,228.0,53972.25,132966.0,5883.0,0,1418,327.9,YOUTUBE
242,0,95.5714285714286,2836,0,391.818181818182,33390.1334721417,98.2134964986888,10442.9743589744,133755.0,0,67879.3333333333,143106.0,1139.0,11456.15625,133755.0,0.0,0,2836,331.682926829268,YOUTUBE
242,0,55.375,2836,0,1053.75,13352.7882330345,34.3996261907287,31712.8181818182,133284.0,0,49834.4285714286,133562.0,0.0,46009.0,137375.0,285.0,0,2836,358.307692307692,YOUTUBE
242,0,95.5714285714286,2799,0,292.033333333333,23023.0792330849,90.334457224193,11377.4722222222,135771.0,0,68264.8333333333,147370.0,1628.0,12989.0344827586,135771.0,0.0,0,2799,248.157894736842,YOUTUBE
242,0,63.2857142857143,1418,0,472.666666666667,5304.68442686034,28.5044837552947,38980.2222222222,135347.0,130,58470.3333333333,135636.0,319.0,69791.5,139424.0,159.0,0,1418,169.181818181818,YOUTUBE
286,0,92.0,6,6,6.0,8512.89063361489,154.378845687317,7557.16666666667,45052.0,0,15114.3333333333,45338.0,0.0,0.5,1.0,0.0,0,286,84.0,YOUTUBE
517,0,183.272727272727,0,0,0.0,847.099042937753,4.62206819063258,237988.7,2323257.0,0,237988.7,2323257.0,0.0,0.0,0.0,0.0,0,517,168.0,YOUTUBE
517,0,183.272727272727,0,0,0.0,847.16204915725,4.62241197456833,237971.0,2325357.0,0,237971.0,2325357.0,0.0,0.0,0.0,0.0,0,517,168.0,YOUTUBE
517,0,148.307692307692,0,0,0.0,810.212033497729,5.46304794370875,198302.0,2249053.0,0,198302.0,2249053.0,0.0,0.0,0.0,0.0,0,517,137.714285714286,YOUTUBE
517,0,133.272727272727,151,0,37.75,745.206107655307,8.00843667729119,131805.444444444,2275436.0,0,237249.8,2325498.0,0.0,12324.1428571429,66865.0,0.0,0,517,88.4,YOUTUBE
517,0,162.888888888889,151,0,37.75,745.205793553548,7.16544032263027,148281.1875,2275562.0,0,296562.375,2325499.0,0.0,12238.8571428571,66203.0,1.0,0,517,98.2222222222222,YOUTUBE
517,0,112.769230769231,160,0,51.6,835.406394441639,9.6944233461946,107840.818181818,2306842.0,0,197708.166666667,2306842.0,0.0,6056.22222222222,28409.0,0.0,0,517,82.5833333333333,YOUTUBE
0,0,0.0,0,0,0.0,0.0,203.583061889251,9824.0,9824.0,9824,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,YOUTUBE
0,0,0.0,0,0,0.0,0.0,203.541624262162,9826.0,9826.0,9826,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,YOUTUBE
0,0,0.0,0,0,0.0,0.0,189.000189000189,10582.0,10582.0,10582,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,YOUTUBE
817,0,115.083333333333,5936,0,895.517857142857,39822.9028446366,52.551084677572,19313.1194029851,469421.0,0,117634.454545455,470656.0,107.0,23472.3636363636,469421.0,0.0,0,5936,746.811594202899,YOUTUBE
817,0,94.3333333333333,4516,0,1349.16666666667,8458.5259961938,16.5008635451922,64167.7647058823,268746.0,0,99168.3636363636,276272.0,0.0,163692.6,275731.0,41.0,0,4516,485.631578947368,YOUTUBE
0,0,0.0,0,0,0.0,0.0,302.526092875511,6611.0,6611.0,6611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,YOUTUBE
1212,0,20.0147058823529,5840,0,1849.00160771704,363421.391277264,238.960076013263,4190.32760898283,2006659.0,0,23496.8740740741,2006659.0,902.0,1865.19484702094,125312.0,0.0,0,5840,1518.8418972332,YOUTUBE
242,0,75.6666666666667,3496,0,345.305555555556,4147.9664935922,14.2356995280391,71842.4318181818,2732687.0,0,395133.375,2732687.0,788.0,6358.91428571428,63538.0,0.0,0,3496,285.04347826087,YOUTUBE
1212,0,11.2666666666667,8520,0,2094.4962962963,89737.0860204266,89.9115459675145,11161.2042253521,2014491.0,0,21273.7046979866,2014491.0,0.0,7711.20149253731,148913.0,0.0,0,8520,994.56993006993,YOUTUBE
242,0,84.375,2836,0,275.515151515152,2905.00280923022,12.1946467880044,84053.275,2693006.0,0,480304.428571429,2693006.0,1096.0,14494.53125,130123.0,0.0,0,2836,232.547619047619,YOUTUBE
242,0,40.2727272727273,2048,0,515.777777777778,1609.90676787709,6.33198335448216,166240.421052632,2939125.0,0,315856.8,2939125.0,0.0,21972.25,108217.0,0.0,0,2048,242.142857142857,YOUTUBE
242,0,49.2222222222222,2836,0,534.0,1100.46420458797,4.52617577976956,236718.285714286,2898650.0,0,414257.0,2898650.0,0.0,57162.0,145316.0,0.0,0,2836,227.9375,YOUTUBE
373,0,76.1182795698925,5672,0,825.566197183099,86813.3285668505,129.574290609682,7734.8456375839,2569718.0,0,37581.2608695652,2569718.0,32.0,2504.1779661017,130005.0,0.0,0,5672,668.496659242762,YOUTUBE
2736,0,124.089285714286,5672,0,948.394366197183,21852.7907059524,37.3602264206226,26978.8650793651,2419325.0,0,61806.1272727273,2571812.0,0.0,12155.5857142857,152747.0,0.0,0,5672,580.3515625,YOUTUBE
1361,0,208.388888888889,4274,0,253.3,9160.31063346977,37.1691707558004,27133.9658119658,2062619.0,0,186745.529411765,2062619.0,91.0,26892.101010101,2299353.0,0.0,0,4274,244.378151260504,YOUTUBE
1361,0,117.833333333333,2048,0,284.444444444444,2505.17156548322,13.2381990123673,77381.3902439025,2223814.0,0,137940.739130435,2331490.0,0.0,156487.058823529,2223814.0,0.0,0,2048,184.837209302326,YOUTUBE
1551,0,217.2,265,0,38.1538461538462,1538.37815272382,13.2618806269295,78831.5454545454,1491818.0,26,192699.333333333,1530038.0,482.0,20193.0,62005.0,180.0,0,1551,111.166666666667,YOUTUBE
1551,0,175.928571428571,265,0,51.5454545454545,1748.18215019481,14.4239451336205,72217.875,1450647.0,2,133325.307692308,1530508.0,196.0,24187.5,81958.0,2.0,0,1551,116.538461538462,YOUTUBE
816,0,129.272727272727,4476,0,664.777777777778,50506.6909185397,87.9671733575852,11545.5,314922.0,0,73891.2,327718.0,0.0,13591.0566037736,314922.0,0.0,0,4476,565.454545454546,YOUTUBE
816,0,70.625,2840,0,953.571428571429,15336.4890542073,45.1940100252104,23132.5909090909,89120.0,0,33927.8,123977.0,0.0,66997.3333333333,184330.0,0.0,0,2840,325.208333333333,YOUTUBE
517,0,155.666666666667,152,0,55.8,15333.8558390008,139.053927641393,7910.6,32154.0,8,15821.2,50751.0,724.0,19375.5,43149.0,5144.0,0,517,101.083333333333,YOUTUBE
517,0,102.428571428571,152,0,46.8,12848.9204745048,162.131488637285,6728.54545454545,32245.0,0,12335.6666666667,32245.0,1782.0,16405.75,43242.0,0.0,0,517,73.1538461538462,YOUTUBE
517,0,155.666666666667,152,0,55.8,15041.6031149635,136.403655617971,8064.3,26082.0,1,16128.6,44786.0,763.0,17792.25,38496.0,4006.0,0,517,101.083333333333,YOUTUBE
517,0,102.428571428571,152,0,46.8,12414.3332680634,156.647738398277,6964.09090909091,26279.0,4,12767.5,26279.0,3832.0,15176.75,38298.0,14.0,0,517,73.1538461538462,YOUTUBE
517,0,155.666666666667,152,0,55.8,14129.1307031951,128.128967629964,8585.1,20970.0,25,17170.2,36826.0,515.0,16206.5,30276.0,6965.0,0,517,101.083333333333,YOUTUBE
517,0,119.5,152,0,58.5,12091.0836204595,127.140732076335,8739.22222222222,21167.0,29,15730.6,33086.0,1798.0,16897.0,30264.0,4708.0,0,517,86.4545454545455,YOUTUBE
517,0,155.666666666667,152,0,55.8,14210.2365248767,128.864469722707,8536.1,22525.0,61,17072.2,41519.0,661.0,17399.25,35662.0,5927.0,0,517,101.083333333333,YOUTUBE
517,0,119.5,152,0,58.5,12006.2114153695,126.248279867187,8801.0,22655.0,104,15841.8,28855.0,2510.0,19017.0,35733.0,4414.0,0,517,86.4545454545455,YOUTUBE
623,0,90.2941176470588,299,0,54.6363636363636,495.590267498095,6.49650163387016,159630.074074074,4125308.0,0,269375.75,4171377.0,0.0,17758.6,85782.0,1.0,0,623,73.6551724137931,YOUTUBE
1436,0,171.714285714286,273,0,55.9090909090909,887.870146858839,7.35235298823153,141678.0,3286506.0,0,261559.384615385,3292454.0,0.0,10685.1,44303.0,137.0,0,1436,116.115384615385,YOUTUBE
249,0,50.7272727272727,4488,0,571.581818181818,35257.5969955833,72.7301578905609,13960.9846153846,369271.0,0,90746.4,370438.0,59.0,16776.3703703704,369271.0,0.0,0,4488,477.537313432836,YOUTUBE
844,0,96.0833333333333,3096,0,953.571428571429,11128.0119411472,27.0097377212311,39080.5555555556,178282.0,0,63950.0,180002.0,0.0,89138.3333333333,179627.0,12.0,0,3096,391.4,YOUTUBE
1120,0,205.857142857143,4274,0,144.602739726027,15603.6636910015,101.020891584844,10014.0465116279,577284.0,0,66246.7692307692,615954.0,28.0,3942.33333333333,91234.0,0.0,0,4274,152.704545454545,YOUTUBE
1120,0,84.0476190476191,2048,0,388.461538461538,7930.78167366841,39.5666290395783,26039.696969697,577019.0,0,42965.5,616040.0,0.0,20220.4166666667,74576.0,1.0,0,2048,194.714285714286,YOUTUBE
1460,0,219.181818181818,265,0,45.6935483870968,616.778999874739,8.58597768704347,118086.597222222,8237593.0,0,850223.5,8237953.0,1853.0,4338.39344262295,55041.0,0.0,0,1460,70.8648648648649,YOUTUBE
1460,0,196.909090909091,152,0,37.75,290.802316285224,2.23875365049403,471492.5,8158019.0,82,848686.5,8237982.0,1827.0,41252.7142857143,89682.0,136.0,0,1460,123.4,YOUTUBE
517,0,119.5,152,0,58.5,116.157764963374,1.22142760213852,909682.333333333,7998309.0,202,1637428.2,7998309.0,8727.0,37345.0,56919.0,4894.0,0,517,86.4545454545455,YOUTUBE
517,0,134.285714285714,152,0,41.5714285714286,292.283721944576,5.12564355810948,199855.926829268,7769310.0,0,1365682.16666667,7769310.0,870.0,5044.91176470588,49717.0,0.0,0,517,55.6976744186046,YOUTUBE
